medication,k,z_i,Z_D1,Z_D2,Z_S
aripiprazole,0.3421052631578947,13,0.49851258581235697,0.819725400457666,0.07894736842105265
aripiprazole,0.3684210526315789,14,0.4983981693363844,0.805858123569794,0.06578947368421054
aripiprazole,0.39473684210526316,15,0.4982837528604119,0.7919908466819222,0.05263157894736842
aripiprazole,0.42105263157894735,16,0.49816933638443933,0.7781235697940504,0.03947368421052633
aripiprazole,0.4473684210526315,17,0.49805491990846684,0.7642562929061785,0.026315789473684237
aripiprazole,0.47368421052631576,18,0.4979405034324943,0.7503890160183067,0.013157894736842118
aripiprazole,0.5,19,0.49782608695652175,0.7365217391304348,0.0
amisulpride,0.0,0,0.5,1.0,0.25
amisulpride,0.02631578947368421,1,0.49999210447360526,0.9473684210526316,0.24999526268416317
amisulpride,0.05263157894736842,2,0.4999842089472105,0.8947368421052632,0.2499905253683263
amisulpride,0.07894736842105263,3,0.4999763134208158,0.8421052631578947,0.24998578805248947
amisulpride,0.10526315789473684,4,0.49996841789442104,0.7894736842105263,0.2499810507366526
amisulpride,0.13157894736842105,5,0.4999605223680263,0.736842105263158,0.24997631342081578
amisulpride,0.15789473684210525,6,0.49995262684163155,0.6842105263157895,0.24997157610497892
amisulpride,0.18421052631578946,7,0.4999447313152368,0.631578947368421,0.24996683878914208
amisulpride,0.21052631578947367,8,0.499936835788842,0.5789473684210527,0.24996210147330522
amisulpride,0.23684210526315788,9,0.4999289402624473,0.5263157894736843,0.2499573641574684
amisulpride,0.2631578947368421,10,0.49992104473605253,0.4736842105263158,0.24995262684163153
amisulpride,0.2894736842105263,11,0.4999131492096578,0.42105263157894735,0.2499478895257947
amisulpride,0.3157894736842105,12,0.49990525368326305,0.368421052631579,0.24994315220995783
amisulpride,0.3421052631578947,13,0.4998973581568683,0.3157894736842106,0.249938414894121
amisulpride,0.3684210526315789,14,0.49988946263047357,0.26315789473684215,0.24993367757828414
amisulpride,0.39473684210526316,15,0.49988156710407883,0.21052631578947367,0.2499289402624473
amisulpride,0.42105263157894735,16,0.4998736715776841,0.1578947368421053,0.24992420294661044
amisulpride,0.4473684210526315,17,0.49986577605128935,0.10526315789473695,0.2499194656307736
amisulpride,0.47368421052631576,18,0.4998578805248946,0.052631578947368474,0.24991472831493675
amisulpride,0.5,19,0.49984998499849986,0.0,0.2499099909990999
olanzapine,0.0,0,0.5,1.0,0.25
olanzapine,0.02631578947368421,1,0.49951147319568373,0.9533497954550586,0.2368421052631579
olanzapine,0.05263157894736842,2,0.49902294639136746,0.9066995909101172,0.2236842105263158
olanzapine,0.07894736842105263,3,0.4985344195870512,0.8600493863651759,0.21052631578947367
olanzapine,0.10526315789473684,4,0.49804589278273487,0.8133991818202344,0.19736842105263158
olanzapine,0.13157894736842105,5,0.4975573659784186,0.7667489772752931,0.1842105263157895
olanzapine,0.15789473684210525,6,0.49706883917410233,0.7200987727303517,0.17105263157894737
olanzapine,0.18421052631578946,7,0.49658031236978606,0.6734485681854103,0.15789473684210525
olanzapine,0.21052631578947367,8,0.4960917855654698,0.6267983636404689,0.14473684210526316
olanzapine,0.23684210526315788,9,0.4956032587611535,0.5801481590955275,0.13157894736842107
olanzapine,0.2631578947368421,10,0.4951147319568372,0.5334979545505862,0.11842105263157895
olanzapine,0.2894736842105263,11,0.4946262051525209,0.48684775000564473,0.10526315789473684
olanzapine,0.3157894736842105,12,0.49413767834820466,0.44019754546070344,0.09210526315789475
olanzapine,0.3421052631578947,13,0.4936491515438884,0.39354734091576205,0.07894736842105265
olanzapine,0.3684210526315789,14,0.4931606247395721,0.34689713637082065,0.06578947368421054
olanzapine,0.39473684210526316,15,0.49267209793525585,0.30024693182587914,0.05263157894736842
olanzapine,0.42105263157894735,16,0.4921835711309396,0.25359672728093785,0.03947368421052633
olanzapine,0.4473684210526315,17,0.49169504432662325,0.20694652273599656,0.026315789473684237
